Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,38111-82/2011/3,106.8,MHz,B.&B.BELNA d.o.o.,MELJSKI HRIB,"[{u'Program': u'RADIO TOP', u'Timesharing': None}]",2017-04-22
27,Center,38112-1/2012/2,,,RTV SLOVENIJA,TRAVA,,2017-01-18
27,Zahod,38112-12/2011/15,,,RTV SLOVENIJA,PREŠNICA,,2021-05-30
27,Vzhod,38112-12/2011/17,,,RTV SLOVENIJA,SPODNJE JAVORJE,,2021-05-30
27,Zahod,38112-12/2012/3,,,RTV SLOVENIJA,ŽAGA,,2022-03-15
27,Vzhod,38112-13/2012/3,,,RTV SLOVENIJA,CELJE,,2022-03-12
32,Vzhod,38112-14/2012/3,,,RTV SLOVENIJA,STOPERCE,,2017-03-22
27,Vzhod,38112-15/2012/3,,,RTV SLOVENIJA,SLOVENJ GRADEC,,2022-03-12
27,Zahod,38112-16/2012/3,,,RTV SLOVENIJA,TRENTA 1,,2022-03-15
29,Zahod,38112-17/2012/3,,,RTV SLOVENIJA,SLAP,,2017-03-22
28,Zahod,38112-18/2012/3,,,RTV SLOVENIJA,DOLENJA TREBUŠA,,2017-03-22
27,Vzhod,38112-19/2012/4,,,RTV SLOVENIJA,ŽETALE,,2022-10-01
32,Center,38112-2/2012/2,,,RTV SLOVENIJA,OSILNICA 2,,2022-01-18
28,Zahod,38112-20/2012/4,,,RTV SLOVENIJA,ČIGINJ,,2017-03-22
27,Vzhod,38112-21/2012/6,,,RTV SLOVENIJA,VUZENICA,,2022-10-01
53,Vzhod,38112-22/2012/3,,,RTV SLOVENIJA,PODVOLOVLJEK 1,,2017-03-22
53,Vzhod,38112-23/2012/3,,,RTV SLOVENIJA,PODVELKA 1,,2017-03-22
32,Vzhod,38112-24/2012/4,,,RTV SLOVENIJA,PODLEHNIK,,2017-03-23
57,Center,38112-25/2012/3,,,RTV SLOVENIJA,MEŽAKLA,,2019-08-05
27,Vzhod,38112-26/2012/3,,,RTV SLOVENIJA,PODSREDA,,2022-03-15
27,Zahod,38112-27/2011/2,,,RTV SLOVENIJA,BELI KRIŽ,,2019-08-06
27,Center,38112-27/2012/3,,,RTV SLOVENIJA,PODLJUBELJ 1,,2017-03-23
32,Center,38112-28/2012/3,,,RTV SLOVENIJA,PODLJUBELJ 2,,2022-03-19
27,Zahod,38112-29/2011/5,,,RTV SLOVENIJA,BREGINJ,,2021-08-11
57,Center,38112-29/2012/3,,,RTV SLOVENIJA,PODLJUBELJ 3,,2017-03-23
27,Zahod,38112-30/2011/3,,,RTV SLOVENIJA,RAKITOVEC,,2021-09-10
57,Center,38112-31/2012/2,,,RTV SLOVENIJA,SELCA,,2019-08-05
27,Zahod,38112-32/2011/2,,,RTV SLOVENIJA,TRSTELJ,,2019-08-06
27,Zahod,38112-32/2011/3,,,RTV SLOVENIJA,KAMBREŠKO,,2019-07-07
27,Zahod,38112-32/2011/4,,,RTV SLOVENIJA,KANIN,,2019-07-07
27,Zahod,38112-32/2011/5,,,RTV SLOVENIJA,GRAHOVO,,2019-08-06
27,Zahod,38112-32/2011/6,,,RTV SLOVENIJA,KUK,,2019-08-06
27,Zahod,38112-32/2011/7,,,RTV SLOVENIJA,COL,,2019-07-07
27,Zahod,38112-32/2011/8,,,RTV SLOVENIJA,TOLMIN,,2019-07-07
28,Zahod,38112-32/2012/2,,,RTV SLOVENIJA,LEPENA,,2017-03-19
28,Zahod,38112-33/2012/2,,,RTV SLOVENIJA,SOČA,,2017-03-19
34,Koper,38112-34/2011/2,,,DOMATES d.o.o. Portorož,ANKARAN,,2012-12-22
28,Zahod,38112-34/2012/2,,,RTV SLOVENIJA,SRPENICA,,2017-03-19
27,Zahod,38112-35/2011/3,,,RTV SLOVENIJA,CERKNO 2,,2019-10-28
28,Zahod,38112-35/2012/2,,,RTV SLOVENIJA,TRENTA 2,,2017-03-19
27,Center,38112-36/2012/3,,,RTV SLOVENIJA,RADEČE 1,,2017-03-28
57,Center,38112-37/2012/5,,,RTV SLOVENIJA,KROPA,,2019-08-05
53,Vzhod,38112-38/2012/2,,,RTV SLOVENIJA,TRBONJE,,2017-03-28
27,Center,38112-39/2012/2,,,RTV SLOVENIJA,ZALI LOG 1,,2017-04-16
27,Zahod,38112-4/2012/2,,,RTV SLOVENIJA,PODGORJE,,2022-03-05
27,Center,38112-4/2012/3,,,RTV SLOVENIJA,KUŽELJ,,2017-03-08
57,Center,38112-40/2012/3,,,RTV SLOVENIJA,ŽELEZNIKI 3,,2017-04-16
27,Vzhod,38112-44/2012/5,,,RTV SLOVENIJA,JOSIPDOL,,2022-10-01
57,Center,38112-45/2012/3,,,RTV SLOVENIJA,BITNJE,,2017-05-19
27,Zahod,38112-46/2012/3,,,RTV SLOVENIJA,ČEKOVNIK,,2022-05-31
27,Center,38112-47/2012/2,,,RTV SLOVENIJA,HRASTNIK 3,,2017-05-31
27,Center,38112-48/2012/2,,,RTV SLOVENIJA,JELENDOL,,2017-05-31
27,Center,38112-49/2012/2,,,RTV SLOVENIJA,NOMENJ,,2017-05-31
32,Center,38112-5/2011/10,,,RTV SLOVENIJA,SODRAŽICA,,2019-07-14
32,Center,38112-5/2011/11,,,RTV SLOVENIJA,KRANJSKA GORA,,2019-07-07
32,Center,38112-5/2011/12,,,RTV SLOVENIJA,LOGATEC,,2019-08-07
32,Center,38112-5/2011/13,,,RTV SLOVENIJA,VOGEL,,2019-08-06
32,Center,38112-5/2011/14,,,RTV SLOVENIJA,GORENJA VAS,,2019-08-06
32,Center,38112-5/2011/15,,,RTV SLOVENIJA,JEZERSKO 1,,2019-08-06
32,Center,38112-5/2011/16,,,RTV SLOVENIJA,NOVA ŠTIFTA,,2019-07-07
32,Center,38112-5/2011/18,,,RTV SLOVENIJA,ŽIRI 1,,2019-08-06
32,Center,38112-5/2011/7,,,RTV SLOVENIJA,BOROVNICA,,2019-08-06
32,Center,38112-5/2011/8,,,RTV SLOVENIJA,JEVNICA 1,,2019-08-06
32,Center,38112-5/2011/9,,,RTV SLOVENIJA,ORTNEK,,2019-07-14
32,Center,38112-50/2012/5,,,RTV SLOVENIJA,ŠMARATA,,2022-10-01
28,Zahod,38112-51/2012/2,,,RTV SLOVENIJA,ZAKOJCA,,2017-05-31
27,Center,38112-52/2011/5,,,RTV SLOVENIJA,SINJI VRH 1,,2017-01-17
27,Vzhod,38112-52/2012/5,,,RTV SLOVENIJA,ŽUSEM 1,,2022-10-01
57,Center,38112-53/2011/4,,,RTV SLOVENIJA,BLEJSKA DOBRAVA,,2019-08-05
57,Center,38112-54/2011/6,,,RTV SLOVENIJA,GORJE,,2019-08-05
57,Center,38112-55/2011/4,,,RTV SLOVENIJA,TRŽIČ 1,,2019-08-05
27,Center,38112-56/2011/3,,,RTV SLOVENIJA,BOHINJSKA BELA,,2017-01-12
27,Center,38112-57/2011/2,,,RTV SLOVENIJA,ČEŠNJICA,,2017-01-12
27,Center,38112-58/2012/4,,,RTV SLOVENIJA,LOM,,2017-05-07
27,Zahod,38112-59/2012/3,,,RTV SLOVENIJA,IDRIJA 1,,2019-10-28
32,Center,38112-6/2011/10,,,RTV SLOVENIJA,ŽUŽEMBERK,,2019-08-06
32,Center,38112-6/2011/11,,,RTV SLOVENIJA,FARA,,2021-03-01
