Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,893437,99.6,MHz,RADIO PRO 1 d.o.o.,KOPER 2,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-12-17
,,893438,99.1,MHz,RADIO PRO 1 d.o.o.,TRSTELJ,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893438,90.6,MHz,RADIO PRO 1 d.o.o.,ŠEMPETER PRI GORICI,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893438,90.1,MHz,RADIO PRO 1 d.o.o.,NOVA GORICA 1,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893441,89.5,MHz,RADIO PRO 1 d.o.o.,ČRNOMELJ,"[{u'Program': u'Radio Odeon', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-10-16
,,893442,97.7,MHz,"RADIO 1 CE, d.o.o.",CELJE GOLOVEC,"[{u'Program': u'Radio Bakla', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2021-03-29
32,Center,893461,,,RTV SLOVENIJA,BLED 2,,2021-03-01
32,Center,893464,,,RTV SLOVENIJA,LIMBARSKA GORA,,2021-03-01
32,Center,893466,,,RTV SLOVENIJA,LUBNIK,,2021-03-01
32,Center,893468,,,RTV SLOVENIJA,ROB,,2021-03-01
32,Center,893469,,,RTV SLOVENIJA,ROVT,,2021-03-01
32,Center,893470,,,RTV SLOVENIJA,STRUŠKA DOLINA,,2021-03-01
32,Center,893471,,,RTV SLOVENIJA,RADEČE 2,,2021-03-01
32,Center,893472,,,RTV SLOVENIJA,STARI TRG,,2021-03-01
32,Center,893476,,,RTV SLOVENIJA,KRIM,,2019-08-05
32,Center,893477,,,RTV SLOVENIJA,KRVAVEC,,2019-08-05
32,Center,893478,,,RTV SLOVENIJA,TRDINOV VRH,,2019-10-09
32,Center,893479,,,RTV SLOVENIJA,KUM,,2019-08-06
,,893502,100,MHz,RADIO ROBIN d.o.o.,TRSTELJ,"[{u'Program': u'RADIO ROBIN', u'Timesharing': None}]",2013-03-10
,,893502,99.5,MHz,RADIO ROBIN d.o.o.,NOVA GORICA 1,"[{u'Program': u'RADIO ROBIN', u'Timesharing': None}]",2013-03-10
,,893509,88.9,MHz,ZAVOD ZA INFORMIRANJE ORMOŽ,ORMOŽ,"[{u'Program': u'RADIO PRLEK', u'Timesharing': None}]",2021-04-22
,,893548,100.2,MHz,RADIO 94 d.o.o. Postojna,ILIRSKA BISTRICA,"[{u'Program': u'R94', u'Timesharing': u'od 00:00 do 06:00'}, {u'Program': u'Radio 94', u'Timesharing': u'od 06:00 do 24:00'}]",2021-05-29
,,893548,104.1,MHz,RADIO 94 d.o.o. Postojna,ILIRSKA BISTRICA 3,"[{u'Program': u'R94', u'Timesharing': u'od 00:00 do 06:00'}, {u'Program': u'Radio 94', u'Timesharing': u'od 06:00 do 24:00'}]",2021-05-29
,,893584,101.1,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",VOGEL,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2021-06-12
,,893605,97.2,MHz,RADIO CERKNO d.o.o.,IDRIJA 1,"[{u'Program': u'RADIO ODMEV', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2021-05-29
